# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL
allantoin degradation to ureidoglycolate I (urea producing)|PWY-5697|Allantoin Degradation|Allantoin-degradation|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5697
NAD salvage pathway IV (from nicotinamide riboside)|PWY3O-4106|NAD Biosynthesis|NAD-SYN|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3O-4106
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|PWY-6147|6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis|6-HM-Dihydropterin-PP-Biosynthesis|0.2128913|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6147
monocistronic tRNA processing II|PWY-8470|||0.21464126|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8470
D-altritol and galactitol degradation|PWY-7862|||0.22000001|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7862
dimethyl sulfide degradation II (oxidation)|PWY-6059|Dimethylsulfide Degradation|Dimethylsulfide-Degradation|0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6059
peptidoglycan maturation (meso-diaminopimelate containing)|PWY0-1586|Peptidoglycan Biosynthesis|Peptidoglycan-Biosynthesis|0.22000001|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1586
UDP-N-acetyl-D-glucosamine biosynthesis I|UDPNAGSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|0.22214782|1.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNAGSYN-PWY
glyphosate degradation III|PWY-7807|Glyphosate Degradation|Glyphosate-Degradation|0.22370347|0.5714286|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7807
L-glutamine degradation I|GLUTAMINDEG-PWY|L-glutamine Degradation|GLUTAMINE-DEG|0.22442245|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTAMINDEG-PWY
L-methionine degradation I (to L-homocysteine)|METHIONINE-DEG1-PWY|L-methionine Degradation|METHIONINE-DEG|0.22484045|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=METHIONINE-DEG1-PWY
glycine biosynthesis I|GLYSYN-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.22743236|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-PWY
acetate and ATP formation from acetyl-CoA I|PWY0-1312|||0.2279313|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1312
3-(4-hydroxyphenyl)pyruvate biosynthesis|PWY-5886|||0.23119894|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5886
UTP and CTP dephosphorylation I|PWY-7185|UTP and CTP Dephosphorylation|UTP-CTP-Dephosphorylation|0.23215725|0.14285715|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7185
peptidoglycan recycling I|PWY0-1261|Anhydromuropeptide Recycling|Anhydromuropeptides-Recycling|0.23251313|0.5714286|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1261
atrazine degradation I (aerobic)|P141-PWY|Atrazine Degradation|Atrazine-Degradation|0.23271297|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=P141-PWY
acetate conversion to acetyl-CoA|PWY0-1313|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
acetate and ATP formation from acetyl-CoA III|PWY-8328|||0.2392438|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8328
UDP-alpha-D-glucose biosynthesis|PWY-7343|||0.24360389|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7343
L-aspartate biosynthesis|ASPARTATESYN-PWY|L-aspartate Biosynthesis|ASPARTATE-SYN|0.24414779|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATESYN-PWY
L-aspartate degradation I|ASPARTATE-DEG1-PWY|L-aspartate Degradation|ASPARTATE-DEG|0.24414779|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ASPARTATE-DEG1-PWY
D-galactose degradation I (Leloir pathway)|PWY-6317|Galactose Degradation|GALACTOSE-DEGRADATION|0.24646172|1.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6317
NADP biosynthesis|PWY-8148|||0.25138244|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8148
heme degradation II|PWY-7845|||0.25138244|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7845
propene degradation|PWY-5534|||0.25142857|0.2857143|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5534
ethene and chloroethene degradation|PWY-7776|||0.25142857|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7776
L-glutamate biosynthesis I|GLUTSYN-PWY|L-glutamate Biosynthesis|GLUTAMATE-SYN|0.2534729|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTSYN-PWY
coenzyme A biosynthesis I (bacteria)|COA-PWY|Coenzyme A Biosynthesis|CoA-Biosynthesis|0.25502518|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=COA-PWY
glycerol-3-phosphate to fumarate electron transfer|PWY0-1582|||0.25784603|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1582
palmitate biosynthesis III|PWY-8279|Palmitate Biosynthesis|Palmitate-Biosynthesis|0.2608637|2.4827585|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8279
4-aminobutanoate degradation II|PWY-6537|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.26278535|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6537
UDP-alpha-D-galactose biosynthesis|PWY-7344|||0.26278535|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7344
adenine and adenosine salvage I|P121-PWY|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|0.26278535|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=P121-PWY
L-serine degradation|SERDEG-PWY|||0.26278535|0.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=SERDEG-PWY
L-glutamate degradation II|GLUTDEG-PWY|L-glutamate Degradation|GLUTAMATE-DEG|0.26333556|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTDEG-PWY
inosine 5'-phosphate degradation|PWY-5695|||0.26676565|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
L-aspartate degradation III (anaerobic)|PWY-8294|L-aspartate Degradation|ASPARTATE-DEG|0.26695287|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8294
L-aspartate degradation II (aerobic)|PWY-8291|L-aspartate Degradation|ASPARTATE-DEG|0.26695287|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8291
glutaminyl-tRNAgln biosynthesis via transamidation|PWY-5921|||0.26767504|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5921
long-chain fatty acid activation|PWY-5143|||0.2825233|4.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5143
alanine racemization|PWY-8072|||0.2825233|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8072
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotide Degradation|Guanosine-Nucleotides-Degradation|0.28569633|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
1,4-dihydroxy-6-naphthoate biosynthesis II|PWY-7371|1,4-dihydroxy-6-naphthoate biosynthesis|14-Dihydroxy-6-Naphthoate-Biosynthesis|0.28599998|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7371
mannosylglucosylglycerate biosynthesis I|PWY-6686|Mannosylglucosylglycerate Biosynthesis|Mannosylglucosylglycerate-Biosynthesis|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6686
5-oxo-L-proline metabolism|PWY-7942|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7942
biotin-carboxyl carrier protein assembly|PWY0-1264|||0.29333335|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1264
tetracycline and oxytetracycline biosynthesis|PWY-7812|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7812
cytochrome c biogenesis (system II type)|PWY-8146|Cytochrome c Biogenesis|Cytochrome-C-Biogenesis|0.29333335|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8146
1-(sn-glycero-3-phospho)-1D-myo-inositol biosynthesis|PWY-8430|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8430
uracil degradation III|PWY0-1471|Uracil Degradation|Uracil-Degradation|0.29333335|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1471
bis(guanylyl molybdopterin) cofactor sulfurylation|PWY-8164|||0.29333335|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8164
glutathione-peroxide redox reactions|PWY-4081|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4081
NADH to cytochrome bd oxidase electron transfer II|PWY0-1568|||0.30224258|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1568
thiamine diphosphate biosynthesis II (Bacillus)|PWY-6893|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.30224258|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6893
S-adenosyl-L-methionine salvage II|PWY-5041|S-adenosyl-L-methionine Biosynthesis|S-adenosyl-L-methionine-Biosynthesis|0.31650713|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
dipyrromethane cofactor biosynthesis|PWY-8159|||0.31735414|0.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8159
L-phenylalanine biosynthesis I|PHESYN|L-phenylalanine Biosynthesis|PHENYLALANINE-SYN|0.32030806|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PHESYN
D-gluconate degradation|GLUCONSUPER-PWY|||0.32196188|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONSUPER-PWY
UDP-N-acetyl-D-galactosamine biosynthesis I|PWY-5512|UDP-N-acetyl-D-galactosamine Biosynthesis|UDP-Nac-Galactosamine-Biosynthesis|0.32196188|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5512
carbazole degradation|PWY-6550|||0.3257847|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6550
fatty acid biosynthesis initiation (type II)|PWY-4381|Fatty Acid Biosynthesis Initiation|Fatty-Acid-Biosyn-Initiation|0.3268874|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4381
glucose and glucose-1-phosphate degradation|GLUCOSE1PMETAB-PWY|||0.33275807|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCOSE1PMETAB-PWY
guanine and guanosine salvage I|PWY-6620|Guanine and Guanosine Salvage|Guanine-Guanosine-Salvage|0.34296212|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6620
arsenic detoxification VI|PWY-4621-1|Arsenate Detoxification|Arsenate-Detoxification|0.34296212|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4621-1
adenosine nucleotides degradation II|SALVADEHYPOX-PWY|Adenosine Nucleotide Degradation|Adenosine-Nucleotides-Degradation|0.35189706|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVADEHYPOX-PWY
pyruvate to cytochrome bd oxidase electron transfer|PWY-7545|||0.3528311|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7545
1,2-dichloroethane degradation|12DICHLORETHDEG-PWY|||0.3575|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=12DICHLORETHDEG-PWY
L-phenylalanine biosynthesis II|PWY-3462|L-phenylalanine Biosynthesis|PHENYLALANINE-SYN|0.3575|0.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3462
ppGpp metabolism|PPGPPMET-PWY|||0.36385646|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PPGPPMET-PWY
adenosine deoxyribonucleotides de novo biosynthesis I|PWY-7227|Adenosine Deoxyribonucleotide De Novo Biosynthesis|Adenosine-Deoxy-Denovo-Bbiosynthesis|0.37255037|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7227
guanosine deoxyribonucleotides de novo biosynthesis I|PWY-7226|Guanosine Deoxyribonucleotide De Novo Biosynthesis|Guanosine-Deoxy-Denovo-Biosynthesis|0.37255037|1.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7226
pyruvate decarboxylation to acetyl CoA I|PYRUVDEHYD-PWY|||0.37375924|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRUVDEHYD-PWY
chitin degradation II (Vibrio)|PWY-6902|Chitin Degradation|Chitin-Degradation|0.38002017|0.8333333|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6902
monocistronic tRNA processing III|PWY-8471|||0.38098097|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8471
naphthalene degradation (aerobic)|PWY-5427|Naphthalene Degradation|Naphthalene-Degradation|0.385|0.16666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5427
L-arabinose degradation I|ARABCAT-PWY|L-arabinose Degradation|L-Arabinose-Degradation|0.38750777|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=ARABCAT-PWY
pyrimidine deoxyribonucleotides dephosphorylation|PWY-7206|||0.38750777|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7206
L-idonate degradation|IDNCAT-PWY|||0.40065396|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=IDNCAT-PWY
purine deoxyribonucleosides salvage|PWY-7224|||0.40065396|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7224
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.40083554|0.33333334|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
stearate biosynthesis IV|PWY-8280|Stearate Biosynthesis|Stearate-Biosynthesis|0.41617712|2.1666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8280
superoxide radicals degradation|DETOX1-PWY|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=DETOX1-PWY
UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)|PWY-7346|||0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7346
L-alanine biosynthesis III|PWY0-1021|L-alanine Biosynthesis|ALANINE-SYN|0.42313886|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1021
L-cysteine degradation IV|PWY-8452|L-cysteine Degradation|CYSTEINE-DEG|0.42313886|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8452
S-methyl-5'-thioadenosine degradation IV|PWY0-1391|S-methyl-5'-thioadenosine Degradation|Methylthioadenosine-Degradation|0.42313886|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1391
mannitol degradation I|MANNIDEG-PWY|mannitol degradation|Mannitol-Degradation|0.42313886|2.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNIDEG-PWY
acyl carrier protein activation|PWY-6012-1|||0.42313886|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6012-1
glycine biosynthesis IV|GLYSYN-THR-PWY|Glycine Biosynthesis|GLYCINE-SYN|0.42313886|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=GLYSYN-THR-PWY
trehalose degradation VI (periplasmic)|PWY0-1466|Trehalose Degradation|Trehalose-Degradation|0.42313886|1.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1466
L-serine biosynthesis I|SERSYN-PWY|||0.4343796|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SERSYN-PWY
pseudouridine degradation|PWY-6019|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6019
glucosylglycerate biosynthesis I|PWY-5662|Glucosylglycerate Biosynthesis|Glucosylglycerate-Biosynthesis|0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5662
mannosylglycerate biosynthesis I|PWY-5656|Mannosylglycerate Biosynthesis|Mannosylglycerate-Biosynthesis|0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5656
acrylonitrile degradation I|PWY-7308|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7308
di-trans,poly-cis-undecaprenyl phosphate biosynthesis|PWY-5785|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5785
hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis|PWY-7027|||0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7027
thioredoxin pathway|THIOREDOX-PWY|||0.44000003|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=THIOREDOX-PWY
cytidylyl molybdenum cofactor sulfurylation|PWY-8165|||0.44000003|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8165
thiazole component of thiamine diphosphate biosynthesis IV|PWY-8308|Thiazole Biosynthesis|Thiazole-Biosynthesis|0.44000003|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-8308
